;content;label;source
0;My microphone is not working, why?;Audio;survey
1;My device built-in speakers are not working, I can't hear any sound.;Audio;survey
2;I can't hear any sounds;Audio;survey
3;I'm having issues with the sound output of my computer, sound only comes from the left side. How can I fix it?;Audio;survey
4;I'm hearing a strange noise coming from my audio device;Audio;survey
5;My microphone is not recording any audio.;Audio;survey
6;I can not hear through headphones, what can this be?;Audio;survey
7;I can hear nothing, but my speakers are connected and the volume is up.;Audio;survey
8;Only one my speakers is working. ;Audio;survey
9;Only one of my earpieces seems to be working.;Audio;survey
10;Stereo audio isn't working. ;Audio;survey
11;My microphone captures audio coming from the PC, how do I fix this?;Audio;survey
12;My notebook is not playing audio.;Audio;survey
13;My computer changes the volume randomly.;Audio;survey
14;I can't hear my computer sounds, help!;Audio;survey
15;How can I resolve the no audio issue on my computer? I have already checked the audio controller drivers, but the sound is still not working. What else can I try?;Audio;survey
16;I'm not getting any sound from my computer. What could be the issue?;Audio;survey
17;The sound on my desktop is failing, the audio sometimes comes out choppy. What could it be?;Audio;survey
18;My audio is constantly muting when I plug a new device.;Audio;survey
19;I'm experiencing problems with my laptop's microphone. It's not picking up any sound. What steps can I take to diagnose and fix issues related to the audio controller and microphone?;Audio;survey
20;Why is my audio is distorted?;Audio;survey
21;My left speaker's is a lot lower than the right one. ;Audio;survey
22;My microphone is picking up my voice too low;Audio;survey
23;The machine is turning off by itself when the charger is not plugged.;Battery;survey
24;My device battery drains very quickly, even when I'm not using it.;Battery;survey
25;My computer battery doesn't go up;Battery;survey
26;The status of my battery never changes, it always shows that it's discharging. What should I do?;Battery;survey
27;My system is turning off when it's low on battery, even though its battery level is still above 1%;Battery;survey
28;My battery is discharging too fast.;Battery;survey
29;The Battery is 100%, but my laptop turns off when I unplug it,  what can this be?;Battery;survey
30;My battery doesn't charge as it used to.;Battery;survey
31;My battery is taking too much time to charge.;Battery;survey
32;My notebook only works connected to a power source, but the battery is still there.;Battery;survey
33;Battery charging has got stuck.;Battery;survey
34;My laptop only works when connected to the charger.;Battery;survey
35;My notebook battery is discharging very quickly.;Battery;survey
36;My computer turn off even when the battery level is high.;Battery;survey
37;My laptop turn off when I pull the power cable off;Battery;survey
38;My computer's battery isn't recharging, help!;Battery;survey
39;Is there any way to optimize battery life or identify what is consuming the most energy on my device?;Battery;survey
40;My laptop's battery percentage is not updating and appears to not be holding a charge, what could be happening?;Battery;survey
41;My laptop discharges and charges very quickly. What could be causing this behavior?;Battery;survey
42;My machine is overheating while charging.;Battery;survey
43;The battery life on my laptop seems to be decreasing rapidly. How can I use the LDE to assess and improve the health of my battery?;Battery;survey
44;Why does my notebook only turns on when on cable?;Battery;survey
45;My battery is experiencing unreasonable high battery degradation;Battery;survey
46;My laptop drains as soon as I get a low battery message;Battery;survey
47;The machine is freezing frequently.;CPU/FAN/Heatsink;survey
48;I'm experiencing overheating issues on my device, leading to constant freezes.;CPU/FAN/Heatsink;survey
49;My computer is slow;CPU/FAN/Heatsink;survey
50;My CPU is always overheating. What should I do?;CPU/FAN/Heatsink;survey
51;My game stutter every time I enter a game stage/map with lots of NPC characters.;CPU/FAN/Heatsink;survey
52;My processor is getting really hot.;CPU/FAN/Heatsink;survey
53;Only a few cores are stressed when I use the computer, what can this be?;CPU/FAN/Heatsink;survey
54;My computer is getting slower.;CPU/FAN/Heatsink;survey
55;My processor is overheating, that didn't used to happen.;CPU/FAN/Heatsink;survey
56;Task manager indicates high CPU usage out of nowhere.;CPU/FAN/Heatsink;survey
57;My games are dropping a lot of FPS.;CPU/FAN/Heatsink;survey
58;My processor shows a very high temperature.;CPU/FAN/Heatsink;survey
59;My computer freezes a lot when I try to use programs for daily tasks.;CPU/FAN/Heatsink;survey
60;My computer makes noise when I open many apps.;CPU/FAN/Heatsink;survey
61;My computer is getting high temperature fast;CPU/FAN/Heatsink;survey
